on_date,fii_purchase,fii_sales,fii_net,dii_purchase,dii_sales,dii_net,category
19-Feb-2024,"10,167.95","10,922.54",-754.59,"8,081.14","7,628.44",452.7,cash
16-Feb-2024,"13,802.04","13,548.76",253.28,"12,165.87","10,594.87","1,571.00",cash
15-Feb-2024,"13,657.88","16,722.03","-3,064.15","11,891.94","9,615.01","2,276.93",cash
14-Feb-2024,"18,323.11","22,252.71","-3,929.60","12,110.28","9,212.30","2,897.98",cash
13-Feb-2024,"13,404.37","13,028.05",376.32,"9,167.73","8,893.79",273.94,cash
12-Feb-2024,"9,156.97","9,030.37",126.6,"11,183.90","9,472.15","1,711.75",cash
09-Feb-2024,"13,946.46","13,804.51",141.95,"12,090.82","12,512.69",-421.87,cash
08-Feb-2024,"16,248.71","21,182.49","-4,933.78","17,291.78","11,779.46","5,512.32",cash
07-Feb-2024,"14,534.64","16,225.66","-1,691.02","12,012.32","11,684.59",327.73,cash
06-Feb-2024,"16,944.43","16,851.91",92.52,"13,822.11","12,725.85","1,096.26",cash
05-Feb-2024,"14,276.22","13,757.34",518.88,"11,869.08","13,057.76","-1,188.68",cash
02-Feb-2024,"15,476.31","15,405.62",70.69,"14,097.58","11,634.42","2,463.16",cash
01-Feb-2024,"19,287.92","21,167.50","-1,879.58","12,991.07","12,118.58",872.49,cash
31-Jan-2024,"26,054.03","24,393.31","1,660.72","15,596.89","13,053.96","2,542.93",cash
30-Jan-2024,"14,275.70","16,246.22","-1,970.52","12,666.88","11,664.18","1,002.70",cash
29-Jan-2024,"19,030.42","18,920.41",110.01,"14,592.44","11,371.10","3,221.34",cash
25-Jan-2024,"34,280.27","36,424.33","-2,144.06","12,353.83","8,878.94","3,474.89",cash
24-Jan-2024,"27,230.93","34,165.86","-6,934.93","15,493.23","9,480.56","6,012.67",cash
23-Jan-2024,"26,390.61","29,506.00","-3,115.39","14,853.87","14,639.47",214.4,cash
20-Jan-2024,305.58,851.16,-545.58,"3,467.93","4,187.24",-719.31,cash
19-Jan-2024,"18,644.52","22,334.20","-3,689.68","12,777.33","10,138.87","2,638.46",cash
18-Jan-2024,"14,934.98","24,836.54","-9,901.56","15,637.89","9,660.77","5,977.12",cash
17-Jan-2024,"17,317.91","27,896.04","-10,578.13","15,188.62","11,182.18","4,006.44",cash
16-Jan-2024,"12,212.14","11,555.57",656.57,"10,126.53","10,495.82",-369.29,cash
15-Jan-2024,"12,196.34","11,110.62","1,085.72","10,881.64","11,702.33",-820.69,cash
12-Jan-2024,"11,904.24","12,244.29",-340.05,"13,152.89","10,241.70","2,911.19",cash
11-Jan-2024,"11,619.68","12,484.68",-865,"12,951.47","11,344.39","1,607.08",cash
10-Jan-2024,"9,621.87","11,343.22","-1,721.35","10,461.84","8,381.83","2,080.01",cash
09-Jan-2024,"10,035.26","11,026.16",-990.9,"10,472.02","10,367.79",104.23,cash
08-Jan-2024,"10,246.47","10,230.44",16.03,"9,837.48","9,681.52",155.96,cash
05-Jan-2024,"12,677.19","10,980.33","1,696.86","9,796.37","13,293.99","-3,497.62",cash
04-Jan-2024,"14,864.83","13,351.42","1,513.41","12,011.99","13,399.35","-1,387.36",cash
03-Jan-2024,"9,103.00","9,769.34",-666.34,"10,402.57","11,265.55",-862.98,cash
02-Jan-2024,"10,200.30","8,598.20","1,602.10","8,695.70","10,654.70","-1,959.00",cash
01-Jan-2024,"1,311.29","2,167.09",-855.8,"7,004.39","6,593.93",410.46,cash
29-Dec-2023,"9,503.57","8,044.45","1,459.12","10,908.46","10,354.07",554.39,cash
